Work,Education,MaritalStatus,Occupation,Relationship,Race,Gender,Country,Salary
Government,Bachelors,Not-Married,Admin,Not-in-family,White,Male,North-America,<50K
Self-emp,Bachelors,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Separated,Manual Labour,Not-in-family,White,Male,North-America,<50K
Private,<Gr12,Married,Manual Labour,Husband,Black,Male,North-America,<50K
Private,Bachelors,Married,Professional,Wife,Black,Female,Carribean,<50K
Private,Masters,Married,Office Labour,Wife,White,Female,North-America,<50K
Private,<Gr12,Not-Married,Service,Not-in-family,Black,Female,Carribean,<50K
Self-emp,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,Masters,Not-Married,Professional,Not-in-family,White,Female,North-America,>=50K
Private,Bachelors,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Married,Office Labour,Husband,Black,Male,North-America,>=50K
Government,Bachelors,Married,Professional,Husband,Asian-Pac-Islander,Male,Asia,>=50K
Private,Bachelors,Not-Married,Admin,Own-child,White,Female,North-America,<50K
Private,Associate,Not-Married,Office Labour,Not-in-family,Black,Male,North-America,<50K
Private,<Gr12,Married,Manual Labour,Husband,Amer-Indian-Eskimo,Male,South-America,<50K
Self-emp,HS-Graduate,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Unmarried,White,Male,North-America,<50K
Private,<Gr12,Married,Office Labour,Husband,White,Male,North-America,<50K
Self-emp,Masters,Separated,Office Labour,Unmarried,White,Female,North-America,>=50K
Private,Doctorate,Married,Professional,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Separated,Service,Unmarried,Black,Female,North-America,<50K
Government,<Gr12,Married,Manual Labour,Husband,Black,Male,North-America,<50K
Private,<Gr12,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Separated,Office Labour,Unmarried,White,Female,North-America,<50K
Government,Bachelors,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Private,HS-Graduate,Separated,Office Labour,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Government,Associate,Not-Married,Military,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Office Labour,Own-child,Black,Male,North-America,<50K
Private,Bachelors,Separated,Office Labour,Own-child,White,Male,North-America,<50K
Government,HS-Graduate,Married,Admin,Own-child,White,Male,North-America,<50K
Government,HS-Graduate,Married,Service,Husband,Black,Male,North-America,<50K
Private,<Gr12,Not-Married,Manual Labour,Unmarried,White,Male,South-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Private,HS-Graduate,Married,Admin,Wife,White,Female,North-America,<50K
Self-emp,Associate,Married,Professional,Husband,White,Male,North-America,<50K
Private,<Gr12,Married,Manual Labour,Husband,White,Male,North-America,<50K
Self-emp,Bachelors,Married,Professional,Husband,White,Male,North-America,<50K
Private,Bachelors,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Separated,Admin,Unmarried,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Not-in-family,White,Male,North-America,<50K
Government,Bachelors,Married,Professional,Husband,Black,Male,North-America,>=50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,Masters,Separated,Office Labour,Unmarried,White,Female,North-America,<50K
Government,Associate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,Associate,Not-Married,Professional,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Married,Office Labour,Wife,Other,Female,North-America,<50K
Private,Professional,Married,Professional,Wife,White,Female,South-America,>=50K
Government,Bachelors,Separated,Office Labour,Not-in-family,White,Male,North-America,>=50K
Self-emp,HS-Graduate,Separated,Office Labour,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,<Gr12,Married,Manual Labour,Husband,White,Male,South-America,<50K
Private,Associate,Married,Service,Husband,White,Male,South-America,<50K
Private,HS-Graduate,Married,Admin,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,Bachelors,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,Doctorate,Married,Professional,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Separated,Office Labour,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Separated,Admin,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Married,Admin,Wife,White,Female,North-America,>=50K
Self-emp,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Not-Married,Professional,Own-child,White,Male,North-America,<50K
Private,Bachelors,Separated,Office Labour,Own-child,Black,Female,North-America,<50K
Self-emp,Bachelors,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Not-Married,Manual Labour,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Married,Professional,Other-relative,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Service,Own-child,White,Male,South-America,<50K
Private,Associate,Married,Admin,Husband,White,Male,North-America,<50K
Private,<Gr12,Not-Married,Service,Own-child,White,Female,North-America,<50K
Government,<Gr12,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Office Labour,Not-in-family,White,Male,North-America,<50K
Private,Bachelors,Married,Service,Husband,White,Male,Carribean,<50K
Private,HS-Graduate,Married,Service,Wife,White,Female,North-America,<50K
Private,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Separated,Manual Labour,Not-in-family,White,Female,North-America,>=50K
Private,HS-Graduate,Separated,Office Labour,Own-child,White,Female,North-America,<50K
Government,HS-Graduate,Married,Military,Husband,White,Male,North-America,>=50K
Private,Masters,Married,Professional,Husband,White,Male,North-America,<50K
Private,<Gr12,Not-Married,Office Labour,Not-in-family,White,Male,North-America,<50K
Government,Doctorate,Not-Married,Professional,Not-in-family,White,Female,North-America,>=50K
Private,Associate,Married,Professional,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Separated,Manual Labour,Unmarried,White,Female,North-America,<50K
Private,HS-Graduate,Separated,Manual Labour,Unmarried,Black,Female,North-America,<50K
Government,Bachelors,Married,Military,Husband,White,Male,North-America,>=50K
Government,HS-Graduate,Not-Married,Manual Labour,Not-in-family,White,Male,North-America,<50K
Self-emp,Doctorate,Married,Professional,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,Associate,Separated,Office Labour,Unmarried,White,Female,Europe,<50K
Government,HS-Graduate,Not-Married,Service,Own-child,Black,Male,North-America,<50K
Private,Masters,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,Bachelors,Married,Office Labour,Husband,White,Male,North-America,>=50K
Self-emp,Masters,Not-Married,Professional,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Office Labour,Own-child,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Not-in-family,White,Male,North-America,<50K
Self-emp,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Private,<Gr12,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Government,HS-Graduate,Not-Married,Admin,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,Bachelors,Not-Married,Office Labour,Other-relative,White,Male,North-America,<50K
Private,Professional,Married,Professional,Husband,White,Male,North-America,>=50K
Self-emp,HS-Graduate,Married,Service,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Married,Office Labour,Wife,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Own-child,White,Female,North-America,<50K
Private,<Gr12,Married,Manual Labour,Husband,White,Male,North-America,<50K
Self-emp,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,<50K
Government,Associate,Married,Manual Labour,Husband,Black,Male,North-America,>=50K
Private,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Service,Own-child,White,Female,North-America,<50K
Private,Bachelors,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,Bachelors,Not-Married,Office Labour,Own-child,Black,Male,Europe,<50K
Government,Bachelors,Married,Professional,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Not-Married,Service,Own-child,Black,Male,North-America,<50K
Private,Bachelors,Married,Office Labour,Wife,White,Female,North-America,>=50K
Private,HS-Graduate,Not-Married,Admin,Own-child,White,Female,North-America,<50K
Private,Associate,Married,Admin,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Separated,Manual Labour,Not-in-family,White,Male,North-America,<50K
Private,Associate,Not-Married,Office Labour,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Service,Not-in-family,White,Female,North-America,<50K
Self-emp,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,Bachelors,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,Associate,Separated,Office Labour,Not-in-family,Black,Female,North-America,<50K
Government,Masters,Married,Professional,Husband,White,Male,Middle-East,>=50K
Self-emp,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,Associate,Married,Admin,Wife,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Office Labour,Own-child,White,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,Asian-Pac-Islander,Male,North-America,>=50K
Self-emp,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Office Labour,Own-child,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Service,Own-child,White,Male,South-America,<50K
Private,Associate,Not-Married,Professional,Not-in-family,White,Female,North-America,>=50K
Private,HS-Graduate,Not-Married,Office Labour,Other-relative,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Unmarried,Black,Female,North-America,<50K
Private,HS-Graduate,Married,Service,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Widowed,Service,Unmarried,White,Female,North-America,<50K
Private,<Gr12,Married,Manual Labour,Husband,White,Male,North-America,<50K
Government,HS-Graduate,Separated,Admin,Unmarried,White,Female,South-America,<50K
Private,HS-Graduate,Not-Married,Admin,Not-in-family,White,Female,North-America,<50K
Private,Bachelors,Not-Married,Office Labour,Other-relative,Asian-Pac-Islander,Female,Asia,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,Bachelors,Not-Married,Manual Labour,Not-in-family,White,Male,North-America,<50K
Self-emp,HS-Graduate,Separated,Office Labour,Unmarried,Black,Male,North-America,<50K
Private,HS-Graduate,Separated,Manual Labour,Not-in-family,White,Male,North-America,<50K
Private,Bachelors,Separated,Service,Other-relative,Black,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Service,Unmarried,White,Female,North-America,<50K
Self-emp,Masters,Separated,Office Labour,Unmarried,Asian-Pac-Islander,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Office Labour,Not-in-family,Asian-Pac-Islander,Female,Europe,<50K
Self-emp,Masters,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Separated,Service,Unmarried,White,Female,South-America,<50K
Government,Associate,Not-Married,Office Labour,Not-in-family,White,Male,North-America,<50K
Government,Masters,Widowed,Military,Unmarried,White,Male,North-America,<50K
Private,<Gr12,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Government,Associate,Widowed,Professional,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Service,Not-in-family,White,Male,North-America,<50K
Government,HS-Graduate,Married,Military,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,Bachelors,Not-Married,Manual Labour,Not-in-family,White,Male,North-America,<50K
Government,Bachelors,Married,Professional,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Not-Married,Office Labour,Unmarried,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Own-child,Black,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Not-in-family,Black,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Service,Own-child,White,Male,North-America,<50K
Private,Bachelors,Married,Professional,Husband,White,Male,North-America,<50K
Government,HS-Graduate,Married,Office Labour,Husband,Black,Male,North-America,>=50K
Private,HS-Graduate,Separated,Admin,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Not-in-family,Black,Male,North-America,<50K
Private,<Gr12,Married,Manual Labour,Husband,White,Male,South-America,>=50K
Government,HS-Graduate,Married,Admin,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Married,Admin,Husband,Black,Male,North-America,<50K
Self-emp,Bachelors,Separated,Office Labour,Not-in-family,White,Female,North-America,<50K
Private,Masters,Married,Professional,Wife,White,Female,North-America,<50K
Government,Doctorate,Married,Professional,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Separated,Manual Labour,Not-in-family,Black,Female,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Government,Bachelors,Married,Manual Labour,Husband,Black,Male,North-America,<50K
Private,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,<50K
Government,Bachelors,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,<Gr12,Married,Manual Labour,Other-relative,White,Male,South-America,<50K
Private,HS-Graduate,Separated,Manual Labour,Not-in-family,White,Male,North-America,<50K
Government,Masters,Not-Married,Office Labour,Not-in-family,White,Female,North-America,>=50K
Private,Masters,Married,Professional,Other-relative,White,Male,North-America,>=50K
Self-emp,HS-Graduate,Not-Married,Office Labour,Not-in-family,White,Male,North-America,<50K
Private,Masters,Not-Married,Professional,Not-in-family,White,Female,North-America,<50K
Private,Bachelors,Married,Office Labour,Husband,White,Male,North-America,>=50K
Government,HS-Graduate,Not-Married,Professional,Not-in-family,White,Female,North-America,<50K
Government,HS-Graduate,Separated,Admin,Unmarried,White,Female,North-America,<50K
Private,<Gr12,Not-Married,Office Labour,Own-child,White,Female,North-America,<50K
Private,Bachelors,Married,Service,Husband,Black,Male,North-America,>=50K
Private,HS-Graduate,Separated,Manual Labour,Not-in-family,White,Male,North-America,<50K
Self-emp,HS-Graduate,Married,Office Labour,Wife,White,Female,North-America,>=50K
Private,<Gr12,Not-Married,Office Labour,Own-child,White,Female,North-America,<50K
Government,HS-Graduate,Married,Manual Labour,Husband,Black,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Not-Married,Office Labour,Not-in-family,Amer-Indian-Eskimo,Female,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,Asian-Pac-Islander,Male,North-America,<50K
Self-emp,<Gr12,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Private,Bachelors,Not-Married,Office Labour,Not-in-family,Black,Male,North-America,>=50K
Private,Associate,Separated,Office Labour,Not-in-family,White,Female,North-America,<50K
Private,Bachelors,Married,Office Labour,Husband,White,Male,Europe,<50K
Private,Bachelors,Married,Professional,Husband,White,Male,North-America,<50K
Private,<Gr12,Not-Married,Manual Labour,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Service,Not-in-family,Black,Male,North-America,<50K
Private,HS-Graduate,Married,Admin,Husband,Black,Male,North-America,<50K
Government,<Gr12,Not-Married,Manual Labour,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Office Labour,Own-child,White,Female,North-America,<50K
Self-emp,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,Associate,Widowed,Admin,Not-in-family,White,Female,South-America,<50K
Private,HS-Graduate,Separated,Admin,Not-in-family,White,Female,North-America,<50K
Private,<Gr12,Separated,Manual Labour,Not-in-family,Black,Male,North-America,<50K
Private,HS-Graduate,Separated,Office Labour,Unmarried,Black,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Admin,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Separated,Manual Labour,Other-relative,Other,Female,North-America,<50K
Private,Professional,Not-Married,Professional,Not-in-family,White,Male,North-America,>=50K
Government,HS-Graduate,Married,Service,Husband,White,Male,North-America,<50K
Government,HS-Graduate,Not-Married,Admin,Not-in-family,White,Female,North-America,<50K
Private,Bachelors,Married,Office Labour,Husband,White,Male,Middle-East,>=50K
Government,Masters,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Private,Bachelors,Married,Professional,Husband,White,Male,North-America,>=50K
Self-emp,HS-Graduate,Married,Service,Wife,White,Female,North-America,<50K
Government,Associate,Married,Military,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Separated,Manual Labour,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Married,Admin,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Not-Married,Service,Not-in-family,White,Female,North-America,<50K
Private,Associate,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,Professional,Married,Professional,Wife,White,Female,North-America,>=50K
Private,Bachelors,Married,Admin,Wife,Black,Female,North-America,<50K
Government,<Gr12,Widowed,Service,Unmarried,Black,Female,North-America,<50K
Government,HS-Graduate,Not-Married,Admin,Own-child,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Not-in-family,White,Male,North-America,<50K
Self-emp,HS-Graduate,Married,Manual Labour,Husband,Asian-Pac-Islander,Male,Asia,>=50K
Private,HS-Graduate,Not-Married,Service,Own-child,White,Female,North-America,<50K
Private,HS-Graduate,Separated,Service,Not-in-family,White,Female,North-America,<50K
Private,Associate,Widowed,Office Labour,Not-in-family,White,Female,North-America,<50K
Private,<Gr12,Separated,Manual Labour,Not-in-family,White,Male,North-America,<50K
Private,Bachelors,Separated,Professional,Own-child,White,Female,North-America,<50K
Private,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,<Gr12,Not-Married,Service,Own-child,White,Male,North-America,<50K
Private,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,<Gr12,Married,Manual Labour,Husband,White,Male,North-America,<50K
Self-emp,HS-Graduate,Married,Office Labour,Husband,Asian-Pac-Islander,Male,Asia,>=50K
Private,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,Bachelors,Not-Married,Professional,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Wife,White,Female,North-America,>=50K
Private,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,<Gr12,Not-Married,Service,Own-child,White,Male,North-America,<50K
Self-emp,Masters,Married,Manual Labour,Husband,White,Male,North-America,<50K
Government,Masters,Not-Married,Professional,Own-child,White,Male,North-America,<50K
Private,HS-Graduate,Separated,Professional,Own-child,White,Female,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,Black,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Not-Married,Office Labour,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Office Labour,Own-child,White,Female,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Wife,White,Female,North-America,>=50K
Private,Bachelors,Not-Married,Professional,Not-in-family,White,Female,Europe,<50K
Government,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Private,Associate,Separated,Office Labour,Unmarried,Black,Female,North-America,<50K
Private,Bachelors,Separated,Professional,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Government,Masters,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,Professional,Married,Professional,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Separated,Service,Not-in-family,White,Male,North-America,<50K
Private,Bachelors,Not-Married,Office Labour,Not-in-family,White,Female,North-America,<50K
Private,<Gr12,Married,Manual Labour,Husband,White,Male,South-America,<50K
Private,Bachelors,Married,Professional,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Separated,Professional,Not-in-family,White,Female,North-America,<50K
Government,Bachelors,Not-Married,Military,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Office Labour,Own-child,White,Male,North-America,<50K
Private,Bachelors,Not-Married,Office Labour,Unmarried,Black,Female,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Self-emp,Bachelors,Separated,Office Labour,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Own-child,White,Male,North-America,<50K
Private,HS-Graduate,Separated,Office Labour,Not-in-family,White,Male,North-America,<50K
Private,Bachelors,Married,Admin,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Not-Married,Service,Not-in-family,Asian-Pac-Islander,Female,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Married,Admin,Wife,Asian-Pac-Islander,Female,Asia,<50K
Private,HS-Graduate,Separated,Admin,Not-in-family,White,Female,North-America,<50K
Private,Associate,Not-Married,Office Labour,Not-in-family,White,Male,North-America,<50K
Private,Associate,Not-Married,Professional,Not-in-family,White,Female,North-America,<50K
Private,Associate,Married,Admin,Husband,White,Male,North-America,>=50K
Self-emp,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Private,Bachelors,Not-Married,Office Labour,Not-in-family,White,Male,North-America,<50K
Private,Masters,Married,Office Labour,Husband,Asian-Pac-Islander,Male,Asia,>=50K
Self-emp,Bachelors,Separated,Professional,Not-in-family,Black,Female,North-America,>=50K
Private,HS-Graduate,Not-Married,Office Labour,Own-child,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Not-in-family,White,Male,North-America,<50K
Self-emp,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,<Gr12,Married,Manual Labour,Other-relative,White,Female,South-America,<50K
Private,HS-Graduate,Not-Married,Office Labour,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Widowed,Service,Not-in-family,White,Female,North-America,<50K
Self-emp,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Separated,Manual Labour,Not-in-family,White,Male,North-America,<50K
Private,<Gr12,Not-Married,Office Labour,Not-in-family,White,Female,North-America,<50K
Self-emp,Masters,Married,Manual Labour,Husband,White,Male,North-America,<50K
Self-emp,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Married,Professional,Wife,White,Female,North-America,>=50K
Self-emp,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Not-in-family,Black,Male,North-America,<50K
Private,Bachelors,Not-Married,Admin,Not-in-family,White,Male,North-America,<50K
Private,Associate,Not-Married,Service,Not-in-family,White,Male,North-America,<50K
Government,<Gr12,Married,Admin,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
