company,job_title,location,salary,experience_years,company_rating,data_source,date_posted
IBM,Principal Software Engineer,"San Francisco, CA",326504,8,3.5,glassdoor,2025-07-08 00:52:04.457680
AMD,Principal Software Engineer,"Berlin, Germany",134767,17,3.2,glassdoor,2025-02-13 00:52:04.457692
Microsoft,Software Engineer,"Seattle, WA",178410,6,3.5,glassdoor,2024-11-13 00:52:04.457697
Google,Product Manager,"Toronto, Canada",197256,20,4.4,glassdoor,2025-02-15 00:52:04.457701
Uber,Backend Engineer,"London, UK",111177,8,4.6,glassdoor,2025-09-14 00:52:04.457704
Cisco,Senior Engineering Manager,"Toronto, Canada",102942,13,3.7,glassdoor,2025-06-30 00:52:04.457708
Tesla,ML Engineer,"Seattle, WA",230930,2,3.8,glassdoor,2025-03-18 00:52:04.457712
Databricks,Data Scientist,"San Francisco, CA",202436,14,4.1,glassdoor,2025-03-08 00:52:04.457716
Apple,Senior Data Scientist,"Berlin, Germany",95902,19,4.8,glassdoor,2025-03-16 00:52:04.457720
Salesforce,Product Manager,"Toronto, Canada",119719,2,3.1,glassdoor,2025-05-24 00:52:04.457724
Cisco,Senior Data Scientist,"Seattle, WA",127387,7,4.7,glassdoor,2025-03-07 00:52:04.457727
Airbnb,Backend Engineer,"Berlin, Germany",89125,11,3.3,glassdoor,2025-03-20 00:52:04.457731
Tesla,Data Scientist,"Toronto, Canada",153327,20,3.1,glassdoor,2024-10-27 00:52:04.457735
Netflix,Senior Product Manager,"New York, NY",140013,14,3.8,glassdoor,2024-10-25 00:52:04.457739
NVIDIA,Senior Product Manager,"Berlin, Germany",49519,10,4.7,glassdoor,2025-08-20 00:52:04.457742
Uber,Senior Software Engineer,"Los Angeles, CA",134196,12,3.5,glassdoor,2025-06-01 00:52:04.457746
Salesforce,ML Engineer,"Austin, TX",86122,20,4.0,glassdoor,2024-10-23 00:52:04.457750
Atlassian,Engineering Manager,"Boston, MA",181747,4,3.5,glassdoor,2024-12-04 00:52:04.457753
Adobe,Data Scientist,"Toronto, Canada",95752,18,3.9,glassdoor,2024-11-23 00:52:04.457757
OpenAI,DevOps Engineer,"Austin, TX",77494,4,4.0,glassdoor,2025-08-02 00:52:04.457761
Cisco,Senior Software Engineer,"Seattle, WA",211814,4,4.3,glassdoor,2024-10-04 00:52:04.457765
GitHub,Staff Software Engineer,"Chicago, IL",154684,12,4.2,glassdoor,2025-01-21 00:52:04.457768
Spotify,Data Scientist,Remote - US,130438,0,4.4,glassdoor,2025-07-21 00:52:04.457772
Intel,Data Scientist,"Berlin, Germany",58562,10,3.2,glassdoor,2025-02-07 00:52:04.457775
Netflix,Backend Engineer,"San Francisco, CA",216542,8,4.9,glassdoor,2025-06-18 00:52:04.457779
Spotify,Principal Software Engineer,"Berlin, Germany",141674,9,4.7,glassdoor,2025-01-01 00:52:04.457783
Oracle,Product Manager,"New York, NY",116393,11,4.5,glassdoor,2024-12-15 00:52:04.457787
Cisco,Mobile Engineer,"San Francisco, CA",174172,19,3.6,glassdoor,2025-09-08 00:52:04.457790
Amazon,DevOps Engineer,"Boston, MA",123534,7,3.1,glassdoor,2024-12-01 00:52:04.457794
Apple,Staff Software Engineer,"Toronto, Canada",213568,15,4.6,glassdoor,2024-12-19 00:52:04.457798
Cisco,Engineering Manager,"New York, NY",210590,15,4.9,glassdoor,2025-06-25 00:52:04.457801
Airbnb,Mobile Engineer,"London, UK",173170,13,4.9,glassdoor,2024-12-15 00:52:04.457805
Cisco,Product Manager,"Toronto, Canada",107708,9,3.8,glassdoor,2024-10-09 00:52:04.457808
IBM,DevOps Engineer,"Denver, CO",85153,16,3.9,glassdoor,2025-05-14 00:52:04.457812
Uber,Staff Software Engineer,"Los Angeles, CA",226380,0,4.2,glassdoor,2025-05-23 00:52:04.457815
Salesforce,Senior Product Manager,"San Francisco, CA",122444,2,4.4,glassdoor,2025-08-18 00:52:04.457818
Uber,Staff Software Engineer,"San Francisco, CA",303780,10,3.1,glassdoor,2025-05-19 00:52:04.457822
