job_title,industry,company_size,salary,experience_years,education_level,skills_count,connections,data_source,date_updated
Software Architect,Financial Services,51-200,131901,6,Certificate,46,4151,linkedin,2025-08-24 00:52:04.492905
Software Architect,Healthcare,51-200,91342,21,Certificate,19,4114,linkedin,2025-08-16 00:52:04.492912
Senior Software Developer,Healthcare,1001-5000,129995,10,Master,5,2169,linkedin,2025-08-25 00:52:04.492917
CTO,Technology,501-1000,174680,8,Certificate,21,1016,linkedin,2025-08-01 00:52:04.492921
Data Engineer,Real Estate,201-500,137884,3,No Degree,50,2455,linkedin,2025-08-30 00:52:04.492925
Software Developer,Retail,5000+,151968,22,PhD,41,1213,linkedin,2025-06-25 00:52:04.492929
Software Architect,Retail,5000+,136382,21,Bachelor,41,3083,linkedin,2025-08-03 00:52:04.492934
Site Reliability Engineer,Energy,1001-5000,169751,18,Certificate,36,1932,linkedin,2025-07-29 00:52:04.492938
Platform Engineer,Media & Communications,5000+,122598,6,Certificate,18,3871,linkedin,2025-07-05 00:52:04.492942
CTO,Retail,11-50,107535,8,No Degree,45,915,linkedin,2025-07-25 00:52:04.492945
Senior Software Developer,Real Estate,11-50,79342,19,Master,10,2060,linkedin,2025-08-07 00:52:04.492949
Senior Software Developer,Financial Services,1001-5000,191530,21,Bachelor,20,1799,linkedin,2025-09-11 00:52:04.492953
Software Developer,Financial Services,201-500,142146,11,Master,28,463,linkedin,2025-08-26 00:52:04.492957
VP of Engineering,Media & Communications,501-1000,112408,9,No Degree,23,948,linkedin,2025-08-27 00:52:04.492961
Lead Software Developer,Consulting,5000+,144542,24,Master,16,1968,linkedin,2025-08-27 00:52:04.492965
Data Engineer,Technology,201-500,181524,8,No Degree,25,3987,linkedin,2025-09-10 00:52:04.492969
ML Engineer,Energy,51-200,77593,7,No Degree,11,2136,linkedin,2025-07-18 00:52:04.492973
Data Engineer,Technology,51-200,100645,18,Certificate,38,1780,linkedin,2025-07-18 00:52:04.492978
Lead Software Developer,Non-profit,1-10,81409,8,Bachelor,32,4637,linkedin,2025-08-25 00:52:04.492982
VP of Engineering,Healthcare,1001-5000,169060,2,No Degree,5,4982,linkedin,2025-08-22 00:52:04.492986
Senior Software Developer,Education,51-200,35000,4,No Degree,19,710,linkedin,2025-07-22 00:52:04.492990
Technical Lead,Government,51-200,65260,23,No Degree,39,4680,linkedin,2025-08-17 00:52:04.492994
Software Developer,Government,11-50,37414,15,PhD,46,3685,linkedin,2025-08-19 00:52:04.492998
Senior Software Developer,Government,1-10,46349,8,Master,33,601,linkedin,2025-06-24 00:52:04.493002
ML Engineer,Media & Communications,51-200,35000,13,Master,24,3100,linkedin,2025-08-08 00:52:04.493006
Software Developer,Media & Communications,201-500,100921,16,Bachelor,5,2728,linkedin,2025-08-19 00:52:04.493009
Engineering Director,Retail,1001-5000,88242,17,No Degree,13,1774,linkedin,2025-08-15 00:52:04.493013
Site Reliability Engineer,Government,1-10,61710,22,Bachelor,37,324,linkedin,2025-06-24 00:52:04.493017
Lead Software Developer,Government,501-1000,54147,21,Master,38,2737,linkedin,2025-09-10 00:52:04.493021
Site Reliability Engineer,Healthcare,501-1000,127999,9,Certificate,35,4946,linkedin,2025-07-09 00:52:04.493025
Engineering Director,Healthcare,501-1000,112392,16,PhD,19,3905,linkedin,2025-09-09 00:52:04.493029
VP of Engineering,Retail,5000+,182939,10,Bachelor,25,2023,linkedin,2025-08-21 00:52:04.493033
Software Developer,Energy,201-500,141371,25,Bachelor,29,3466,linkedin,2025-07-26 00:52:04.493037
CTO,Real Estate,1-10,90921,21,Certificate,18,2008,linkedin,2025-09-06 00:52:04.493041
ML Engineer,Financial Services,5000+,170996,3,Certificate,49,864,linkedin,2025-09-04 00:52:04.493045
Engineering Director,Non-profit,51-200,99506,24,Master,6,4973,linkedin,2025-08-17 00:52:04.493049
Software Architect,Education,1001-5000,60440,4,Master,21,567,linkedin,2025-08-19 00:52:04.493052
CTO,Education,501-1000,59198,3,Certificate,5,1860,linkedin,2025-07-17 00:52:04.493056
Platform Engineer,Non-profit,1001-5000,84639,7,Bachelor,31,898,linkedin,2025-07-11 00:52:04.493060
Lead Software Developer,Non-profit,1-10,83178,1,PhD,28,4338,linkedin,2025-09-01 00:52:04.493064
CTO,Technology,11-50,105527,4,Certificate,16,2314,linkedin,2025-07-22 00:52:04.493068
Technical Lead,Energy,11-50,81583,10,Certificate,40,2311,linkedin,2025-07-18 00:52:04.493072
Lead Software Developer,Consulting,51-200,72905,11,Bachelor,32,2790,linkedin,2025-08-31 00:52:04.493076
Platform Engineer,Non-profit,501-1000,98671,1,PhD,50,1892,linkedin,2025-07-30 00:52:04.493080
ML Engineer,Education,1001-5000,122343,4,Master,6,3788,linkedin,2025-08-28 00:52:04.493084
Site Reliability Engineer,Energy,1-10,90992,20,PhD,35,4595,linkedin,2025-06-25 00:52:04.493088
Software Developer,Non-profit,5000+,78454,8,PhD,49,2728,linkedin,2025-09-16 00:52:04.493092
Senior Software Developer,Government,501-1000,75087,20,Certificate,39,2254,linkedin,2025-08-13 00:52:04.493096
VP of Engineering,Retail,51-200,64288,23,Certificate,49,4512,linkedin,2025-09-07 00:52:04.493100
CTO,Energy,51-200,96991,10,Master,7,2677,linkedin,2025-08-15 00:52:04.493104
Platform Engineer,Technology,51-200,90142,3,PhD,49,2769,linkedin,2025-07-26 00:52:04.493108
Technical Lead,Education,1-10,42903,19,Master,8,1058,linkedin,2025-07-29 00:52:04.493113
CTO,Real Estate,5000+,118912,11,No Degree,43,2088,linkedin,2025-09-13 00:52:04.493116
Senior Software Developer,Technology,11-50,97557,9,Bachelor,24,372,linkedin,2025-08-04 00:52:04.493121
Platform Engineer,Energy,501-1000,98667,2,Certificate,45,4021,linkedin,2025-09-15 00:52:04.493125
Senior Software Developer,Non-profit,5000+,103956,9,PhD,32,3043,linkedin,2025-08-09 00:52:04.493129
Technical Lead,Government,1-10,62001,2,Bachelor,7,2506,linkedin,2025-09-13 00:52:04.493132
Technical Lead,Technology,1001-5000,148984,14,PhD,27,2163,linkedin,2025-06-30 00:52:04.493136
VP of Engineering,Education,501-1000,95372,7,PhD,39,3710,linkedin,2025-08-04 00:52:04.493140
Engineering Director,Healthcare,201-500,86455,1,PhD,40,4859,linkedin,2025-07-02 00:52:04.493144
Technical Lead,Healthcare,201-500,117975,14,Master,25,3733,linkedin,2025-07-25 00:52:04.493148
Senior Software Developer,Technology,11-50,115334,17,Bachelor,49,3954,linkedin,2025-07-02 00:52:04.493152
Site Reliability Engineer,Retail,1-10,47442,3,No Degree,12,1497,linkedin,2025-06-24 00:52:04.493156
VP of Engineering,Financial Services,51-200,166106,6,PhD,8,4661,linkedin,2025-06-23 00:52:04.493160
